name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1032;0;1009;3041;1369;3041;1164;0
header;245;148;245;182;1861;182;1861;148
A;1046;214;1046;242;1068;242;1068;214
B;1043;889;1043;918;1062;918;1062;889
A;1187;911;1187;917;1192;917;1192;911
D;1226;1178;1226;1203;1253;1203;1253;1178
C;1038;1564;1038;1593;1057;1593;1057;1564
D;1039;2249;1039;2275;1059;2275;1059;2249
A;1158;2764;1158;2771;1164;2771;1164;2764
A;1152;2798;1152;2803;1157;2803;1157;2798
B;1282;2846;1282;2873;1289;2873;1289;2846
A;1289;2956;1289;2962;1290;2962;1290;2956
A;1364;2967;1364;2968;1364;2968;1364;2967
