name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;133;0;293;3041;982;3041;1119;0
header;61;161;61;201;1697;201;1697;161
B;373;321;373;332;380;332;380;321
A;851;354;851;361;858;361;858;354
B;875;828;875;855;896;855;896;828
C;909;989;909;1008;925;1008;925;989
A;517;1028;517;1053;531;1053;531;1028
A;885;1116;885;1116;886;1116;886;1116
B;689;1210;689;1237;724;1237;724;1210
C;876;1516;876;1545;897;1545;897;1516
A;237;1713;237;1719;242;1719;242;1713
A;855;1714;855;1721;862;1721;862;1714
C;997;1807;997;1825;1012;1825;1012;1807
A;567;2044;567;2056;575;2056;575;2044
D;881;2300;881;2329;905;2329;905;2300
A;855;2531;855;2539;862;2539;862;2531
B;917;2531;917;2550;933;2550;933;2531
A;756;2637;756;2652;765;2652;765;2637
